#Shape:0 (Polygon)  nVertices=433  nParts=1
#  Bounds: 44.034 25.075
#      to  63.342 39.781
timezone 3.50
xy 60.866 29.864
xy 61.314 29.396
xy 61.359 29.384
xy 61.360 29.266
xy 61.425 29.155
xy 61.511 29.089
xy 61.488 29.044
xy 61.534 29.012
xy 61.581 28.881
xy 61.906 28.555
xy 62.405 28.417
xy 62.592 28.234
xy 62.781 28.267
xy 62.758 28.000
xy 62.822 27.760
xy 62.840 27.474
xy 62.778 27.353
xy 62.807 27.323
xy 62.796 27.286
xy 62.765 27.272
xy 62.823 27.230
xy 62.933 27.213
xy 63.206 27.267
xy 63.288 27.219
xy 63.342 27.122
xy 63.279 27.122
xy 63.253 27.084
xy 63.259 26.934
xy 63.291 26.892
xy 63.206 26.842
xy 63.176 26.631
xy 62.773 26.650
xy 62.743 26.612
xy 62.446 26.569
xy 62.320 26.515
xy 62.271 26.425
xy 62.278 26.354
xy 62.136 26.381
xy 62.129 26.344
xy 62.104 26.314
xy 61.876 26.246
xy 61.844 26.212
xy 61.776 25.819
xy 61.686 25.795
xy 61.704 25.677
xy 61.669 25.633
xy 61.647 25.306
xy 61.611 25.198
xy 61.550 25.250
xy 61.554 25.197
xy 61.486 25.197
xy 61.517 25.155
xy 61.495 25.115
xy 61.423 25.097
xy 61.439 25.075
xy 61.225 25.119
xy 61.173 25.174
xy 60.622 25.268
xy 60.603 25.400
xy 60.547 25.442
xy 60.455 25.432
xy 60.395 25.376
xy 60.461 25.264
xy 60.307 25.329
xy 60.294 25.378
xy 60.197 25.365
xy 60.182 25.321
xy 60.071 25.379
xy 59.894 25.345
xy 59.839 25.411
xy 59.599 25.396
xy 59.478 25.477
xy 59.247 25.426
xy 59.026 25.397
xy 58.932 25.505
xy 58.818 25.560
xy 58.409 25.591
xy 58.323 25.578
xy 58.135 25.541
xy 58.046 25.577
xy 57.958 25.700
xy 57.777 25.628
xy 57.787 25.698
xy 57.748 25.746
xy 57.626 25.730
xy 57.318 25.771
xy 57.271 25.919
xy 57.167 26.072
xy 57.214 26.172
xy 57.126 26.264
xy 57.093 26.299
xy 57.094 26.385
xy 57.088 26.640
xy 57.021 26.852
xy 56.927 26.952
xy 56.971 26.964
xy 56.970 27.000
xy 56.924 26.982
xy 56.842 27.033
xy 55.896 26.623
xy 55.331 26.234
xy 54.557 25.868
xy 54.489 25.883
xy 54.474 26.263
xy 53.145 26.803
xy 52.565 27.358
xy 52.521 27.486
xy 51.541 27.754
xy 51.297 27.954
xy 50.272 29.134
xy 50.072 29.825
xy 49.557 29.985
xy 49.354 30.139
xy 49.228 30.143
xy 48.594 29.941
xy 48.546 29.963
